起点节点id,起点节点名称,终点节点id,终点节点名称,关系类型,关系权重,关系描述,置信度,强度,开始时间,结束时间
AGRI007007,制糖工业,AGRI000007,农产品加工,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI007008,水产品加工,AGRI000007,农产品加工,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI008002,生鲜冷链物流,AGRI000008,农产品流通与消费渠道,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI008003,食材供应链服务,AGRI000008,农产品流通与消费渠道,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI008004,生鲜零售终端渠道,AGRI000008,农产品流通与消费渠道,SUBORDINATE_TO,1.0,,0.75,,2026-08-03,
AGRI008010,冷库仓储服务,AGRI008002,生鲜冷链物流,SUBORDINATE_TO,1.0,生鲜冷链物流包含冷库仓储服务这一静态温控存储环节,0.9,,2026-08-03,
AGRI008011,冷藏运输配送,AGRI008002,生鲜冷链物流,SUBORDINATE_TO,1.0,生鲜冷链物流包含冷藏运输配送这一动态温控运输环节,0.9,,2026-08-03,
AGRI000007,农产品加工,AGRI000001,农林牧渔行业,DOWNSTREAM_OF,1.0,农产品加工与仓储是农林牧渔行业下游增值与储存环节，将原粮、生鲜肉奶水产等转化为加工品并提供冷链仓储。,0.95,,2026-08-03,
AGRI000008,农产品流通与消费渠道,AGRI000001,农林牧渔行业,DOWNSTREAM_OF,1.0,农产品流通与消费渠道是农林牧渔行业下游终端触达环节，通过批发市场、冷链物流、生鲜零售及电商将农产品送达消费者。,0.95,,2026-08-03,
AGRI000001,农林牧渔行业,AGRI000002,种业与生物技术,DOWNSTREAM_OF,1.0,种业与生物技术是农林牧渔行业最上游的遗传资源投入环节，为种植业提供种子种苗及育种技术。,0.95,,2026-08-03,
AGRI000001,农林牧渔行业,AGRI000003,农化与肥料,DOWNSTREAM_OF,1.0,农化与肥料是农林牧渔行业上游化学投入品环节，为种植业提供化肥、农药等生产资料。,0.95,,2026-08-03,
AGRI000001,农林牧渔行业,AGRI000004,饲料工业,DOWNSTREAM_OF,1.0,,0.75,,2026-08-03,
AGRI000001,农林牧渔行业,AGRI000005,动物保健与兽药,DOWNSTREAM_OF,1.0,动物保健与兽药是农林牧渔行业上游养殖健康投入品环节，为畜禽水产养殖提供疫苗、兽药及诊断产品。,0.95,,2026-08-03,
AGRI006001,粮食作物种植,AGRI002001,大田作物种子,DOWNSTREAM_OF,1.0,大田作物种子是粮食作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006001,粮食作物种植,AGRI003001,氮肥,DOWNSTREAM_OF,1.0,氮肥是粮食作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006002,经济作物种植,AGRI003001,氮肥,DOWNSTREAM_OF,1.0,氮肥是经济作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006001,粮食作物种植,AGRI003002,磷肥及磷化工,DOWNSTREAM_OF,1.0,磷肥及磷化工是粮食作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006002,经济作物种植,AGRI003002,磷肥及磷化工,DOWNSTREAM_OF,1.0,磷肥及磷化工是经济作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006001,粮食作物种植,AGRI003003,钾肥,DOWNSTREAM_OF,1.0,钾肥是粮食作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006002,经济作物种植,AGRI003003,钾肥,DOWNSTREAM_OF,1.0,钾肥是经济作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006001,粮食作物种植,AGRI003004,复合肥与掺混肥,DOWNSTREAM_OF,1.0,复合肥与掺混肥是粮食作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006002,经济作物种植,AGRI003004,复合肥与掺混肥,DOWNSTREAM_OF,1.0,复合肥与掺混肥是经济作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006004,家禽养殖,AGRI003004,复合肥与掺混肥,DOWNSTREAM_OF,1.0,复合肥与掺混肥是家禽养殖的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006006,林业生产,AGRI003004,复合肥与掺混肥,DOWNSTREAM_OF,1.0,复合肥与掺混肥是林业生产的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006001,粮食作物种植,AGRI003005,除草剂,DOWNSTREAM_OF,1.0,除草剂是粮食作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006002,经济作物种植,AGRI003005,除草剂,DOWNSTREAM_OF,1.0,除草剂是经济作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006006,林业生产,AGRI003005,除草剂,DOWNSTREAM_OF,1.0,除草剂是林业生产的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006001,粮食作物种植,AGRI003006,杀虫剂,DOWNSTREAM_OF,1.0,杀虫剂是粮食作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006002,经济作物种植,AGRI003006,杀虫剂,DOWNSTREAM_OF,1.0,杀虫剂是经济作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006006,林业生产,AGRI003006,杀虫剂,DOWNSTREAM_OF,1.0,杀虫剂是林业生产的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006001,粮食作物种植,AGRI003007,杀菌剂,DOWNSTREAM_OF,1.0,杀菌剂是粮食作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006002,经济作物种植,AGRI003007,杀菌剂,DOWNSTREAM_OF,1.0,杀菌剂是经济作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006001,粮食作物种植,AGRI003008,生物农药,DOWNSTREAM_OF,1.0,生物农药是粮食作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006002,经济作物种植,AGRI003008,生物农药,DOWNSTREAM_OF,1.0,生物农药是经济作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006004,家禽养殖,AGRI003008,生物农药,DOWNSTREAM_OF,1.0,生物农药是家禽养殖的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006006,林业生产,AGRI003008,生物农药,DOWNSTREAM_OF,1.0,生物农药是林业生产的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006001,粮食作物种植,AGRI003010,农资流通与农技服务,DOWNSTREAM_OF,1.0,农资流通与农技服务是粮食作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006002,经济作物种植,AGRI003010,农资流通与农技服务,DOWNSTREAM_OF,1.0,农资流通与农技服务是经济作物种植的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006003,家畜养殖,AGRI004001,配合饲料,DOWNSTREAM_OF,1.0,配合饲料是家畜养殖的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006004,家禽养殖,AGRI004001,配合饲料,DOWNSTREAM_OF,1.0,配合饲料是家禽养殖的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006005,水产养殖,AGRI004001,配合饲料,DOWNSTREAM_OF,1.0,配合饲料是水产养殖的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006004,家禽养殖,AGRI004003,饲料添加剂,DOWNSTREAM_OF,1.0,饲料添加剂是家禽养殖的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006005,水产养殖,AGRI004003,饲料添加剂,DOWNSTREAM_OF,1.0,饲料添加剂是水产养殖的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006003,家畜养殖,AGRI005001,兽用疫苗,DOWNSTREAM_OF,1.0,兽用疫苗是家畜养殖的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006004,家禽养殖,AGRI005001,兽用疫苗,DOWNSTREAM_OF,1.0,兽用疫苗是家禽养殖的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006005,水产养殖,AGRI005001,兽用疫苗,DOWNSTREAM_OF,1.0,兽用疫苗是水产养殖的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006003,家畜养殖,AGRI005002,兽用化学药品制剂,DOWNSTREAM_OF,1.0,兽用化学药品制剂是家畜养殖的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006004,家禽养殖,AGRI005002,兽用化学药品制剂,DOWNSTREAM_OF,1.0,兽用化学药品制剂是家禽养殖的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006005,水产养殖,AGRI005002,兽用化学药品制剂,DOWNSTREAM_OF,1.0,兽用化学药品制剂是水产养殖的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI007001,粮食加工,AGRI006001,粮食作物种植,DOWNSTREAM_OF,1.0,粮食作物种植是粮食加工的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI007002,植物油加工,AGRI006001,粮食作物种植,DOWNSTREAM_OF,1.0,粮食作物种植是植物油加工的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI007003,淀粉及深加工,AGRI006001,粮食作物种植,DOWNSTREAM_OF,1.0,粮食作物种植是淀粉及深加工的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008002,生鲜冷链物流,AGRI006001,粮食作物种植,DOWNSTREAM_OF,1.0,粮食作物种植是生鲜冷链物流的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008003,食材供应链服务,AGRI006001,粮食作物种植,DOWNSTREAM_OF,1.0,粮食作物种植是食材供应链服务的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008004,生鲜零售终端渠道,AGRI006001,粮食作物种植,DOWNSTREAM_OF,1.0,粮食作物种植是生鲜零售终端渠道的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI007002,植物油加工,AGRI006002,经济作物种植,DOWNSTREAM_OF,1.0,经济作物种植是植物油加工的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI007003,淀粉及深加工,AGRI006002,经济作物种植,DOWNSTREAM_OF,1.0,经济作物种植是淀粉及深加工的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI007007,制糖工业,AGRI006002,经济作物种植,DOWNSTREAM_OF,1.0,经济作物种植是制糖工业的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008003,食材供应链服务,AGRI006002,经济作物种植,DOWNSTREAM_OF,1.0,经济作物种植是食材供应链服务的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008004,生鲜零售终端渠道,AGRI006002,经济作物种植,DOWNSTREAM_OF,1.0,经济作物种植是生鲜零售终端渠道的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI007004,屠宰与肉类分割,AGRI006003,家畜养殖,DOWNSTREAM_OF,1.0,家畜养殖是屠宰与肉类分割的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI007005,肉制品与预制菜加工,AGRI006003,家畜养殖,DOWNSTREAM_OF,1.0,家畜养殖是肉制品与预制菜加工的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008002,生鲜冷链物流,AGRI006003,家畜养殖,DOWNSTREAM_OF,1.0,家畜养殖是生鲜冷链物流的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008003,食材供应链服务,AGRI006003,家畜养殖,DOWNSTREAM_OF,1.0,家畜养殖是食材供应链服务的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008004,生鲜零售终端渠道,AGRI006003,家畜养殖,DOWNSTREAM_OF,1.0,家畜养殖是生鲜零售终端渠道的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI007004,屠宰与肉类分割,AGRI006004,家禽养殖,DOWNSTREAM_OF,1.0,家禽养殖是屠宰与肉类分割的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI007005,肉制品与预制菜加工,AGRI006004,家禽养殖,DOWNSTREAM_OF,1.0,家禽养殖是肉制品与预制菜加工的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008002,生鲜冷链物流,AGRI006004,家禽养殖,DOWNSTREAM_OF,1.0,家禽养殖是生鲜冷链物流的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008003,食材供应链服务,AGRI006004,家禽养殖,DOWNSTREAM_OF,1.0,家禽养殖是食材供应链服务的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008004,生鲜零售终端渠道,AGRI006004,家禽养殖,DOWNSTREAM_OF,1.0,家禽养殖是生鲜零售终端渠道的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI007008,水产品加工,AGRI006005,水产养殖,DOWNSTREAM_OF,1.0,水产养殖是水产品加工的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008002,生鲜冷链物流,AGRI006005,水产养殖,DOWNSTREAM_OF,1.0,水产养殖是生鲜冷链物流的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008003,食材供应链服务,AGRI006005,水产养殖,DOWNSTREAM_OF,1.0,水产养殖是食材供应链服务的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008004,生鲜零售终端渠道,AGRI006005,水产养殖,DOWNSTREAM_OF,1.0,水产养殖是生鲜零售终端渠道的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008002,生鲜冷链物流,AGRI006006,林业生产,DOWNSTREAM_OF,1.0,林业生产是生鲜冷链物流的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI008003,食材供应链服务,AGRI006006,林业生产,DOWNSTREAM_OF,1.0,林业生产是食材供应链服务的直接上游投入或供给环节。,0.8,,2026-08-03,
AGRI006001,粮食作物种植,AGRI000002,种业与生物技术,DOWNSTREAM_OF,1.0,种业与生物技术是粮食作物种植的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI002001,大田作物种子,DOWNSTREAM_OF,1.0,大田作物种子是农林牧渔生产的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI006001,粮食作物种植,AGRI000003,农化与肥料,DOWNSTREAM_OF,1.0,农化与肥料是粮食作物种植的跨层上游投影，由 9 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI006002,经济作物种植,AGRI000003,农化与肥料,DOWNSTREAM_OF,1.0,农化与肥料是经济作物种植的跨层上游投影，由 9 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI006004,家禽养殖,AGRI000003,农化与肥料,DOWNSTREAM_OF,1.0,农化与肥料是家禽养殖的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI006006,林业生产,AGRI000003,农化与肥料,DOWNSTREAM_OF,1.0,农化与肥料是林业生产的跨层上游投影，由 4 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI003001,氮肥,DOWNSTREAM_OF,1.0,氮肥是农林牧渔生产的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI003002,磷肥及磷化工,DOWNSTREAM_OF,1.0,磷肥及磷化工是农林牧渔生产的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI003003,钾肥,DOWNSTREAM_OF,1.0,钾肥是农林牧渔生产的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI003004,复合肥与掺混肥,DOWNSTREAM_OF,1.0,复合肥与掺混肥是农林牧渔生产的跨层上游投影，由 4 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI003005,除草剂,DOWNSTREAM_OF,1.0,除草剂是农林牧渔生产的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI003006,杀虫剂,DOWNSTREAM_OF,1.0,杀虫剂是农林牧渔生产的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI003007,杀菌剂,DOWNSTREAM_OF,1.0,杀菌剂是农林牧渔生产的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI003008,生物农药,DOWNSTREAM_OF,1.0,生物农药是农林牧渔生产的跨层上游投影，由 4 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI003010,农资流通与农技服务,DOWNSTREAM_OF,1.0,农资流通与农技服务是农林牧渔生产的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI006003,家畜养殖,AGRI000004,饲料工业,DOWNSTREAM_OF,1.0,饲料工业是家畜养殖的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI006004,家禽养殖,AGRI000004,饲料工业,DOWNSTREAM_OF,1.0,饲料工业是家禽养殖的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI006005,水产养殖,AGRI000004,饲料工业,DOWNSTREAM_OF,1.0,饲料工业是水产养殖的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI004001,配合饲料,DOWNSTREAM_OF,1.0,配合饲料是农林牧渔生产的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI004003,饲料添加剂,DOWNSTREAM_OF,1.0,饲料添加剂是农林牧渔生产的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI006003,家畜养殖,AGRI000005,动物保健与兽药,DOWNSTREAM_OF,1.0,动物保健与兽药是家畜养殖的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI006004,家禽养殖,AGRI000005,动物保健与兽药,DOWNSTREAM_OF,1.0,动物保健与兽药是家禽养殖的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI006005,水产养殖,AGRI000005,动物保健与兽药,DOWNSTREAM_OF,1.0,动物保健与兽药是水产养殖的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI005001,兽用疫苗,DOWNSTREAM_OF,1.0,兽用疫苗是农林牧渔生产的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000006,农林牧渔生产,AGRI005002,兽用化学药品制剂,DOWNSTREAM_OF,1.0,兽用化学药品制剂是农林牧渔生产的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI007001,粮食加工,AGRI000006,农林牧渔生产,DOWNSTREAM_OF,1.0,农林牧渔生产是粮食加工的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI007002,植物油加工,AGRI000006,农林牧渔生产,DOWNSTREAM_OF,1.0,农林牧渔生产是植物油加工的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI007003,淀粉及深加工,AGRI000006,农林牧渔生产,DOWNSTREAM_OF,1.0,农林牧渔生产是淀粉及深加工的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI007004,屠宰与肉类分割,AGRI000006,农林牧渔生产,DOWNSTREAM_OF,1.0,农林牧渔生产是屠宰与肉类分割的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI007005,肉制品与预制菜加工,AGRI000006,农林牧渔生产,DOWNSTREAM_OF,1.0,农林牧渔生产是肉制品与预制菜加工的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI007007,制糖工业,AGRI000006,农林牧渔生产,DOWNSTREAM_OF,1.0,农林牧渔生产是制糖工业的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI007008,水产品加工,AGRI000006,农林牧渔生产,DOWNSTREAM_OF,1.0,农林牧渔生产是水产品加工的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI008002,生鲜冷链物流,AGRI000006,农林牧渔生产,DOWNSTREAM_OF,1.0,农林牧渔生产是生鲜冷链物流的跨层上游投影，由 5 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI008003,食材供应链服务,AGRI000006,农林牧渔生产,DOWNSTREAM_OF,1.0,农林牧渔生产是食材供应链服务的跨层上游投影，由 6 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI008004,生鲜零售终端渠道,AGRI000006,农林牧渔生产,DOWNSTREAM_OF,1.0,农林牧渔生产是生鲜零售终端渠道的跨层上游投影，由 5 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000007,农产品加工,AGRI006001,粮食作物种植,DOWNSTREAM_OF,1.0,粮食作物种植是农产品加工的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000008,农产品流通与消费渠道,AGRI006001,粮食作物种植,DOWNSTREAM_OF,1.0,粮食作物种植是农产品流通与消费渠道的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000007,农产品加工,AGRI006002,经济作物种植,DOWNSTREAM_OF,1.0,经济作物种植是农产品加工的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000008,农产品流通与消费渠道,AGRI006002,经济作物种植,DOWNSTREAM_OF,1.0,经济作物种植是农产品流通与消费渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000007,农产品加工,AGRI006003,家畜养殖,DOWNSTREAM_OF,1.0,家畜养殖是农产品加工的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000008,农产品流通与消费渠道,AGRI006003,家畜养殖,DOWNSTREAM_OF,1.0,家畜养殖是农产品流通与消费渠道的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-08-03,
AGRI000007,农产品加工,AGRI006004,家禽养殖,DOWNSTREAM_OF,1.0,家禽养殖是农产品加工的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-08-03,
