起点节点id,起点节点名称,终点节点id,终点节点名称,关系类型,关系权重,关系描述
transportation_002_013,机场餐饮服务,transportation_002_003,非航空性业务,SUBORDINATE_TO,1.0,非航空性业务包含机场餐饮服务
transportation_002_014,机场广告业务,transportation_002_003,非航空性业务,SUBORDINATE_TO,1.0,非航空性业务包含机场广告业务
transportation_002_015,机场停车与贵宾服务,transportation_002_003,非航空性业务,SUBORDINATE_TO,1.0,非航空性业务包含机场停车与贵宾服务
transportation_002_018,货站运营与租赁,transportation_002_004,航空货运与货站服务,SUBORDINATE_TO,1.0,航空货运与货站服务包含货站运营与租赁
transportation_002_019,货邮处理与理货,transportation_002_004,航空货运与货站服务,SUBORDINATE_TO,1.0,航空货运与货站服务包含货邮处理与理货
transportation_002_020,旅客地勤服务,transportation_002_005,地面服务与地勤,SUBORDINATE_TO,1.0,地面服务与地勤包含旅客地勤服务
transportation_002_021,机坪与行李服务,transportation_002_005,地面服务与地勤,SUBORDINATE_TO,1.0,地面服务与地勤包含机坪与行李服务
transportation_002_022,特种车辆与设备服务,transportation_002_005,地面服务与地勤,SUBORDINATE_TO,1.0,地面服务与地勤包含特种车辆与设备服务
transportation_002_016,出境免税店,transportation_002_011,机场免税业务,SUBORDINATE_TO,1.0,机场免税业务包含出境免税店
transportation_002_017,进境免税店,transportation_002_011,机场免税业务,SUBORDINATE_TO,1.0,机场免税业务包含进境免税店
transportation_003_001,集装箱航运,TRANSPORTATION000003,航运,SUBORDINATE_TO,1.0,航运包含集装箱航运细分赛道
transportation_003_002,干散货航运,TRANSPORTATION000003,航运,SUBORDINATE_TO,1.0,航运包含干散货航运细分赛道
transportation_003_003,油气与液体散货航运,TRANSPORTATION000003,航运,SUBORDINATE_TO,1.0,航运包含油气与液体散货航运细分赛道
transportation_003_004,特种与滚装航运,TRANSPORTATION000003,航运,SUBORDINATE_TO,1.0,航运包含特种与滚装航运细分赛道
transportation_003_005,航运支撑与服务,TRANSPORTATION000003,航运,SUBORDINATE_TO,1.0,航运包含航运支撑与服务配套环节
transportation_003_006,远洋干线集装箱运输,transportation_003_001,集装箱航运,SUBORDINATE_TO,1.0,集装箱航运包含远洋干线集装箱运输市场
transportation_003_007,大宗干散货运输,transportation_003_002,干散货航运,SUBORDINATE_TO,1.0,干散货航运包含大宗干散货运输市场
transportation_003_008,原油运输,transportation_003_003,油气与液体散货航运,SUBORDINATE_TO,1.0,油气与液体散货航运包含原油运输市场
transportation_003_009,液化气运输,transportation_003_003,油气与液体散货航运,SUBORDINATE_TO,1.0,油气与液体散货航运包含液化气运输市场
transportation_003_010,汽车滚装运输,transportation_003_004,特种与滚装航运,SUBORDINATE_TO,1.0,特种与滚装航运包含汽车滚装运输市场
transportation_003_011,船舶管理与船员服务,transportation_003_005,航运支撑与服务,SUBORDINATE_TO,1.0,航运支撑与服务包含船舶管理与船员服务
transportation_003_012,船舶租赁与运力交易,transportation_003_005,航运支撑与服务,SUBORDINATE_TO,1.0,航运支撑与服务包含船舶租赁与运力交易
transportation_003_013,VLOC与好望角型散货船运输,transportation_003_007,大宗干散货运输,SUBORDINATE_TO,1.0,大宗干散货运输包含VLOC与好望角型散货船运输品类
transportation_003_014,VLCC(超大型油轮)运输,transportation_003_008,原油运输,SUBORDINATE_TO,1.0,原油运输包含VLCC(超大型油轮)运输品类
transportation_003_015,LNG船运输,transportation_003_009,液化气运输,SUBORDINATE_TO,1.0,液化气运输包含LNG船运输品类
transportation_004_001,集装箱码头运营,TRANSPORTATION000004,港口,SUBORDINATE_TO,1.0,
transportation_004_002,干散货码头运营,TRANSPORTATION000004,港口,SUBORDINATE_TO,1.0,
transportation_004_003,液体散货码头运营,TRANSPORTATION000004,港口,SUBORDINATE_TO,1.0,
transportation_004_004,港口装卸与理货服务,TRANSPORTATION000004,港口,SUBORDINATE_TO,1.0,
transportation_004_005,港口物流与保税仓储,TRANSPORTATION000004,港口,SUBORDINATE_TO,1.0,
transportation_004_006,外贸集装箱码头,transportation_004_001,集装箱码头运营,SUBORDINATE_TO,1.0,集装箱码头运营包含外贸集装箱码头
transportation_004_007,内贸集装箱码头,transportation_004_001,集装箱码头运营,SUBORDINATE_TO,1.0,集装箱码头运营包含内贸集装箱码头
transportation_004_008,矿石码头,transportation_004_002,干散货码头运营,SUBORDINATE_TO,1.0,干散货码头运营包含矿石码头
transportation_004_009,煤炭码头,transportation_004_002,干散货码头运营,SUBORDINATE_TO,1.0,干散货码头运营包含煤炭码头
transportation_004_010,原油及成品油码头,transportation_004_003,液体散货码头运营,SUBORDINATE_TO,1.0,液体散货码头运营包含原油及成品油码头
transportation_004_011,LNG码头,transportation_004_003,液体散货码头运营,SUBORDINATE_TO,1.0,液体散货码头运营包含LNG码头
transportation_004_012,港口装卸服务,transportation_004_004,港口装卸与理货服务,SUBORDINATE_TO,1.0,港口装卸与理货服务包含港口装卸服务
transportation_004_013,港口理货服务,transportation_004_004,港口装卸与理货服务,SUBORDINATE_TO,1.0,港口装卸与理货服务包含港口理货服务
transportation_004_014,港口保税仓储,transportation_004_005,港口物流与保税仓储,SUBORDINATE_TO,1.0,港口物流与保税仓储包含港口保税仓储
transportation_004_015,港口大宗商品交割库,transportation_004_005,港口物流与保税仓储,SUBORDINATE_TO,1.0,港口物流与保税仓储包含港口大宗商品交割库
transportation_004_016,国际枢纽港,transportation_004_006,外贸集装箱码头,SUBORDINATE_TO,1.0,外贸集装箱码头包含国际枢纽港
transportation_004_017,区域干线港,transportation_004_006,外贸集装箱码头,SUBORDINATE_TO,1.0,外贸集装箱码头包含区域干线港
transportation_005_001,铁路货运,TRANSPORTATION000005,铁路与轨道交通,SUBORDINATE_TO,1.0,
transportation_005_002,铁路客运,TRANSPORTATION000005,铁路与轨道交通,SUBORDINATE_TO,1.0,
transportation_005_003,城市轨道交通,TRANSPORTATION000005,铁路与轨道交通,SUBORDINATE_TO,1.0,
transportation_005_004,市域铁路与城际铁路,TRANSPORTATION000005,铁路与轨道交通,SUBORDINATE_TO,1.0,
transportation_005_005,铁路运维服务,TRANSPORTATION000005,铁路与轨道交通,SUBORDINATE_TO,1.0,
transportation_005_006,大宗物资铁路货运,transportation_005_001,铁路货运,SUBORDINATE_TO,1.0,大宗物资铁路货运是铁路货运的核心细分品类
transportation_005_007,铁路集装箱货运,transportation_005_001,铁路货运,SUBORDINATE_TO,1.0,铁路集装箱货运是铁路货运的重要细分品类
transportation_005_008,特种与白货铁路货运,transportation_005_001,铁路货运,SUBORDINATE_TO,1.0,特种与白货铁路货运是铁路货运结构优化的重要细分品类
transportation_005_009,高铁客运,transportation_005_002,铁路客运,SUBORDINATE_TO,1.0,高铁客运是铁路客运的核心细分产品
transportation_005_010,普速铁路客运,transportation_005_002,铁路客运,SUBORDINATE_TO,1.0,普速铁路客运是铁路客运的重要细分产品
transportation_005_011,地铁系统,transportation_005_003,城市轨道交通,SUBORDINATE_TO,1.0,地铁系统是城市轨道交通的核心制式
transportation_005_012,轻轨与有轨电车,transportation_005_003,城市轨道交通,SUBORDINATE_TO,1.0,轻轨与有轨电车是城市轨道交通的重要制式
transportation_005_013,城际铁路客运,transportation_005_004,市域铁路与城际铁路,SUBORDINATE_TO,1.0,城际铁路客运是市域铁路与城际铁路的核心服务
transportation_005_014,市域（郊）铁路运营,transportation_005_004,市域铁路与城际铁路,SUBORDINATE_TO,1.0,市域（郊）铁路运营是市域铁路与城际铁路的核心服务之一
transportation_005_015,线路与轨道维护,transportation_005_005,铁路运维服务,SUBORDINATE_TO,1.0,线路与轨道维护是铁路运维服务的核心细分领域
transportation_005_016,车辆与动车组运维,transportation_005_005,铁路运维服务,SUBORDINATE_TO,1.0,车辆与动车组运维是铁路运维服务的核心细分领域
transportation_005_017,通信与信号系统运维,transportation_005_005,铁路运维服务,SUBORDINATE_TO,1.0,通信与信号系统运维是铁路运维服务的核心细分领域
transportation_005_018,煤炭铁路货运,transportation_005_006,大宗物资铁路货运,SUBORDINATE_TO,1.0,煤炭铁路货运是大宗物资铁路货运的核心货类
transportation_006_001,高速公路投资与运营,TRANSPORTATION000006,公路运营与城市交通,SUBORDINATE_TO,1.0,
transportation_006_002,道路客运,TRANSPORTATION000006,公路运营与城市交通,SUBORDINATE_TO,1.0,
transportation_006_003,城市公共汽电车运营,TRANSPORTATION000006,公路运营与城市交通,SUBORDINATE_TO,1.0,
transportation_006_004,出租车与网约车,TRANSPORTATION000006,公路运营与城市交通,SUBORDINATE_TO,1.0,
transportation_006_005,道路货运,TRANSPORTATION000006,公路运营与城市交通,SUBORDINATE_TO,1.0,
transportation_006_006,共享出行,TRANSPORTATION000006,公路运营与城市交通,SUBORDINATE_TO,1.0,
transportation_006_007,高速公路通行费运营,transportation_006_001,高速公路投资与运营,SUBORDINATE_TO,1.0,高速公路投资与运营包含通行费运营核心业务
transportation_006_008,高速公路服务区运营,transportation_006_001,高速公路投资与运营,SUBORDINATE_TO,1.0,高速公路投资与运营包含服务区配套运营业务
transportation_006_016,高速公路养护与运维,transportation_006_001,高速公路投资与运营,SUBORDINATE_TO,1.0,高速公路投资与运营包含养护与运维管理环节
transportation_006_009,班线客运,transportation_006_002,道路客运,SUBORDINATE_TO,1.0,道路客运包含班线客运细分方式
transportation_006_010,旅游包车客运,transportation_006_002,道路客运,SUBORDINATE_TO,1.0,道路客运包含旅游包车客运细分方式
transportation_006_011,常规公交运营,transportation_006_003,城市公共汽电车运营,SUBORDINATE_TO,1.0,城市公共汽电车运营包含常规公交运营细分方式
transportation_006_017,定制公交运营,transportation_006_003,城市公共汽电车运营,SUBORDINATE_TO,1.0,城市公共汽电车运营包含定制公交细分方式
transportation_006_018,BRT快速公交运营,transportation_006_003,城市公共汽电车运营,SUBORDINATE_TO,1.0,城市公共汽电车运营包含BRT快速公交细分方式
transportation_006_012,整车运输,transportation_006_005,道路货运,SUBORDINATE_TO,1.0,道路货运包含整车运输细分方式
transportation_006_013,零担货运,transportation_006_005,道路货运,SUBORDINATE_TO,1.0,道路货运包含零担货运细分方式
transportation_006_019,冷链公路运输,transportation_006_005,道路货运,SUBORDINATE_TO,1.0,道路货运包含冷链公路运输专业细分领域
transportation_006_020,大件货物运输,transportation_006_005,道路货运,SUBORDINATE_TO,1.0,道路货运包含大件货物运输专业细分领域
transportation_006_014,服务区能源补给,transportation_006_008,高速公路服务区运营,SUBORDINATE_TO,1.0,高速公路服务区运营包含能源补给细分业务
transportation_006_015,服务区商业零售,transportation_006_008,高速公路服务区运营,SUBORDINATE_TO,1.0,高速公路服务区运营包含商业零售细分业务
transportation_007_001,时效快递,TRANSPORTATION000007,快递与即时配送,SUBORDINATE_TO,1.0,快递与即时配送包含时效快递产品赛道
transportation_007_002,经济与电商快递,TRANSPORTATION000007,快递与即时配送,SUBORDINATE_TO,1.0,快递与即时配送包含经济与电商快递产品赛道
transportation_007_003,快运与零担物流,TRANSPORTATION000007,快递与即时配送,SUBORDINATE_TO,1.0,快递与即时配送包含快运与零担物流业务
transportation_007_004,同城即时配送,TRANSPORTATION000007,快递与即时配送,SUBORDINATE_TO,1.0,快递与即时配送包含同城即时配送业务
transportation_007_005,国际与跨境物流,TRANSPORTATION000007,快递与即时配送,SUBORDINATE_TO,1.0,快递与即时配送包含国际与跨境物流业务
transportation_007_006,冷链物流,TRANSPORTATION000007,快递与即时配送,SUBORDINATE_TO,1.0,快递与即时配送包含冷链物流业务
transportation_007_007,快递末端网络,TRANSPORTATION000007,快递与即时配送,SUBORDINATE_TO,1.0,快递与即时配送包含快递末端网络
transportation_007_008,全网快运,transportation_007_003,快运与零担物流,SUBORDINATE_TO,1.0,快运与零担物流包含全网快运产品
transportation_007_009,区域零担,transportation_007_003,快运与零担物流,SUBORDINATE_TO,1.0,快运与零担物流包含区域零担模式
transportation_007_010,专线零担,transportation_007_003,快运与零担物流,SUBORDINATE_TO,1.0,快运与零担物流包含专线零担模式
transportation_007_011,外卖餐饮配送,transportation_007_004,同城即时配送,SUBORDINATE_TO,1.0,同城即时配送包含外卖餐饮配送应用场景
transportation_007_012,即时零售配送,transportation_007_004,同城即时配送,SUBORDINATE_TO,1.0,同城即时配送包含即时零售配送应用场景
transportation_007_013,跑腿急送,transportation_007_004,同城即时配送,SUBORDINATE_TO,1.0,同城即时配送包含跑腿急送应用场景
transportation_007_014,跨境直邮,transportation_007_005,国际与跨境物流,SUBORDINATE_TO,1.0,国际与跨境物流包含跨境直邮模式
transportation_007_015,海外仓,transportation_007_005,国际与跨境物流,SUBORDINATE_TO,1.0,国际与跨境物流包含海外仓模式
transportation_007_016,跨境专线,transportation_007_005,国际与跨境物流,SUBORDINATE_TO,1.0,国际与跨境物流包含跨境专线模式
transportation_007_017,医药冷链,transportation_007_006,冷链物流,SUBORDINATE_TO,1.0,冷链物流包含医药冷链细分场景
transportation_007_018,生鲜冷链,transportation_007_006,冷链物流,SUBORDINATE_TO,1.0,冷链物流包含生鲜冷链细分场景
transportation_007_019,快递驿站,transportation_007_007,快递末端网络,SUBORDINATE_TO,1.0,快递末端网络包含快递驿站渠道
transportation_007_020,智能快递柜,transportation_007_007,快递末端网络,SUBORDINATE_TO,1.0,快递末端网络包含智能快递柜渠道
transportation_008_001,国际货运代理,TRANSPORTATION000008,综合物流与供应链,SUBORDINATE_TO,1.0,综合物流与供应链包含国际货运代理细分赛道
transportation_008_004,专业物流,TRANSPORTATION000008,综合物流与供应链,SUBORDINATE_TO,1.0,综合物流与供应链包含专业物流细分赛道
transportation_008_011,大宗商品供应链服务,TRANSPORTATION000008,综合物流与供应链,SUBORDINATE_TO,1.0,综合物流与供应链包含大宗商品供应链服务细分赛道
transportation_008_002,海运货运代理,transportation_008_001,国际货运代理,SUBORDINATE_TO,1.0,国际货运代理按运输方式包含海运货运代理
transportation_008_003,空运货运代理,transportation_008_001,国际货运代理,SUBORDINATE_TO,1.0,国际货运代理按运输方式包含空运货运代理
transportation_008_005,冷链物流,transportation_008_004,专业物流,SUBORDINATE_TO,1.0,专业物流按货物特殊属性包含冷链物流
transportation_008_008,汽车物流,transportation_008_004,专业物流,SUBORDINATE_TO,1.0,专业物流按服务行业包含汽车物流
transportation_008_006,生鲜冷链物流,transportation_008_005,冷链物流,SUBORDINATE_TO,1.0,冷链物流按应用场景包含生鲜冷链物流
transportation_008_007,医药冷链物流,transportation_008_005,冷链物流,SUBORDINATE_TO,1.0,冷链物流按应用场景包含医药冷链物流
transportation_008_009,整车物流,transportation_008_008,汽车物流,SUBORDINATE_TO,1.0,汽车物流按业务环节包含整车物流
transportation_008_010,汽车零部件物流,transportation_008_008,汽车物流,SUBORDINATE_TO,1.0,汽车物流按业务环节包含汽车零部件物流
transportation_008_012,金属矿产供应链,transportation_008_011,大宗商品供应链服务,SUBORDINATE_TO,1.0,大宗商品供应链服务按货种包含金属矿产供应链
transportation_008_013,能源化工供应链,transportation_008_011,大宗商品供应链服务,SUBORDINATE_TO,1.0,大宗商品供应链服务按货种包含能源化工供应链
transportation_008_014,农产品供应链,transportation_008_011,大宗商品供应链服务,SUBORDINATE_TO,1.0,大宗商品供应链服务按货种包含农产品供应链
TRANSPORTATION000007,快递与即时配送,TRANSPORTATION000000,交通运输行业,DOWNSTREAM_OF,1.0,快递与即时配送面向终端交付需求，是交通运输行业的下游环节
TRANSPORTATION000008,综合物流与供应链,TRANSPORTATION000000,交通运输行业,DOWNSTREAM_OF,1.0,综合物流与供应链面向一体化交付需求，是交通运输行业的下游环节
TRANSPORTATION000000,交通运输行业,TRANSPORTATION000002,机场服务,DOWNSTREAM_OF,1.0,机场服务作为基础设施节点，是交通运输行业的上游环节
TRANSPORTATION000000,交通运输行业,TRANSPORTATION000004,港口,DOWNSTREAM_OF,1.0,港口作为水运基础设施节点，是交通运输行业的上游环节
