节点id,节点类型,节点名称,节点标签,节点行业,业务描述,关键节点,产业链环节
transportation_001_004,二级环节,航空维修(MRO),level_2,交通运输行业,为民用航空器及其部件提供航线维护、定期大修、发动机翻修及附件维修等保障飞行安全的技术服务。,true,维修保障
transportation_001_005,二级环节,航空租赁,level_2,交通运输行业,作为连接飞机制造商与航空公司的金融与资产中介，提供飞机的融资租赁、经营租赁及航材租赁服务。,true,航空金融
transportation_001_006,细分环节,全服务客运航空,level_3,交通运输行业,提供包含多舱位、免费餐饮、行李托运及常旅客计划在内的综合性航空客运服务，通常依托枢纽机场构建航线网络。,true,客运细分
transportation_001_007,细分环节,低成本航空,level_3,交通运输行业,通过单一舱位、取消免费附加服务、提高飞机日利用率等方式实现低票价运营的航空客运模式。,true,客运细分
transportation_001_008,细分环节,航空全货机运输,level_3,交通运输行业,依托专业全货机机队，主要承担跨境电商、冷链生鲜、精密仪器等大宗或高时效航空物流需求。,true,货运细分
transportation_001_009,细分环节,公务航空运营,level_3,交通运输行业,为企业高管或高净值人群提供定制化、高隐私的包机飞行、飞机托管及公务机地面代理服务。,false,通用细分
transportation_001_010,细分环节,低空经济与无人机运营,level_3,交通运输行业,依托eVTOL及工业级无人机，开展城市空中交通(UAM)、低空物流配送、巡检测绘等新兴飞行服务。,true,低空细分
transportation_001_011,细分环节,航线维修,level_3,交通运输行业,在航班起降间隙进行的过站检查、航前航后例行维护及故障排除，保障航班正点与安全。,false,维修细分
transportation_001_012,细分环节,机体与发动机大修,level_3,交通运输行业,航空器达到一定飞行小时或起落周期后，在维修基地进行的深度拆解、探伤、结构修理与系统翻修。,true,维修细分
transportation_001_013,细分环节,飞机经营租赁,level_3,交通运输行业,租赁公司保留飞机所有权，航空公司按期支付租金获得使用权，租赁期满后飞机退还租赁公司的租赁模式。,true,租赁细分
transportation_001_014,细分环节,航空发动机维修,level_4,交通运输行业,针对航空发动机进行的性能恢复、热端部件更换与核心机大修，是MRO中技术壁垒与价值量最高的环节。,true,维修深度
transportation_001_015,细分环节,窄体机经营租赁,level_4,交通运输行业,针对单通道窄体客机（如A320/B737系列）的经营租赁，资产流动性强，是全球飞机租赁市场的主力机型。,true,租赁深度
transportation_001_016,细分环节,宽体机经营租赁,level_4,交通运输行业,针对双通道宽体客机（如A350/B787/B777）的经营租赁，资产单价高，受国际远程航线周期影响显著。,false,租赁深度
transportation_002_001,二级环节,机场基础设施运营,level_2,交通运输行业,机场飞行区与航站区等基础设施的投资、建设与运营管理,true,机场基础设施
transportation_002_002,二级环节,航空性业务,level_2,交通运输行业,航班起降、旅客服务、机位停泊等航空性收费业务,true,航空性业务
transportation_002_003,二级环节,非航空性业务,level_2,交通运输行业,机场商业零售、餐饮、免税、广告、停车、贵宾等非航空性商业服务,true,非航业务
transportation_002_004,二级环节,航空货运与货站服务,level_2,交通运输行业,机场航空货运保障、货站运营及货邮处理服务,true,航空货运与货站
transportation_002_005,二级环节,地面服务与地勤,level_2,交通运输行业,机场地面服务代理与地勤保障业务,true,地面服务与地勤
transportation_002_006,细分环节,国际枢纽机场,level_3,交通运输行业,国际枢纽机场基础设施运营管理,true,机场类型
transportation_002_007,细分环节,区域干线机场,level_3,交通运输行业,区域干线机场基础设施运营管理,false,机场类型
transportation_002_008,细分环节,支线机场,level_3,交通运输行业,支线机场基础设施运营管理,false,机场类型
transportation_002_009,细分环节,航班起降服务,level_3,交通运输行业,飞机起降费、停场费、客桥费等航班起降保障服务,true,航空性服务
transportation_002_010,细分环节,旅客与安检服务,level_3,交通运输行业,旅客服务费、旅客行李安检费等旅客保障服务,false,航空性服务
transportation_002_011,细分环节,机场免税业务,level_3,交通运输行业,机场出境和进境免税店运营及免税商品销售,true,非航商业
transportation_002_012,细分环节,机场商业零售,level_3,交通运输行业,机场航站楼商业零售业务,true,非航商业
transportation_002_013,细分环节,机场餐饮服务,level_3,交通运输行业,机场航站楼餐饮服务业务,false,非航商业
transportation_002_014,细分环节,机场广告业务,level_3,交通运输行业,机场航站楼及飞行区广告媒体资源运营,true,非航商业
transportation_002_015,细分环节,机场停车与贵宾服务,level_3,交通运输行业,机场停车场运营及VIP/CIP贵宾休息室服务,false,非航商业
transportation_002_016,产品,出境免税店,level_4,交通运输行业,机场出境免税店运营,true,免税渠道细分
transportation_002_017,产品,进境免税店,level_4,交通运输行业,机场进境免税店运营,false,免税渠道细分
transportation_002_018,细分环节,货站运营与租赁,level_3,交通运输行业,机场货运站基础设施运营、仓储及场地租赁,true,航空货运保障
transportation_002_019,细分环节,货邮处理与理货,level_3,交通运输行业,航空货物及邮件的装卸、分拣、理货与安检服务,false,航空货运保障
transportation_002_020,细分环节,旅客地勤服务,level_3,交通运输行业,旅客值机、行李、引导等地面服务,false,地勤服务
transportation_002_021,细分环节,机坪与行李服务,level_3,交通运输行业,机坪飞机引导、行李装卸与分拣传输服务,true,地勤服务
transportation_002_022,细分环节,特种车辆与设备服务,level_3,交通运输行业,客梯车、摆渡车、电源车、除冰车等特种车辆与设备保障,false,地勤服务
transportation_003_001,二级环节,集装箱航运,level_2,交通运输行业,具有强网络效应和高集中度特征，运价受全球宏观经济及贸易需求驱动，资产周转率要求高。,true,海上集装箱运输
transportation_003_002,二级环节,干散货航运,level_2,交通运输行业,运价弹性极大，高度依赖全球大宗商品周期及主要资源国的进出口需求。,true,海上干散货运输
transportation_003_003,二级环节,油气与液体散货航运,level_2,交通运输行业,资产专用性极强，安全与环保壁垒高，运价受地缘政治、能源转型及炼厂开工率影响显著。,true,海上液体散货运输
transportation_003_004,二级环节,特种与滚装航运,level_2,交通运输行业,需求端高度绑定全球汽车贸易及跨境产业链转移，供给端受限于特种船台产能。,false,海上特种货物运输
transportation_003_005,二级环节,航运支撑与服务,level_2,交通运输行业,轻资产或金融属性较强，是平抑航运周期波动、优化船队运营效率的关键支撑环节。,false,航运配套服务
transportation_003_006,细分环节,远洋干线集装箱运输,level_3,交通运输行业,需要超大型集装箱船(ULCS)投入，联盟化运营特征明显，是决定集运行业整体盈利中枢的核心市场。,true,海上集装箱运输
transportation_003_007,细分环节,大宗干散货运输,level_3,交通运输行业,运价与BDI指数中的BCI(好望角型)高度相关，受中国等制造业大国的基建与地产周期直接驱动。,true,海上干散货运输
transportation_003_008,细分环节,原油运输,level_3,交通运输行业,运价弹性极高，受OPEC+减产政策、地缘冲突及炼厂原油库存周期影响剧烈。,true,海上液体散货运输
transportation_003_009,细分环节,液化气运输,level_3,交通运输行业,技术壁垒与资金壁垒极高，长协合同占比大，具备较强的抗周期属性和稳定的现金流特征。,true,海上液体散货运输
transportation_003_010,细分环节,汽车滚装运输,level_3,交通运输行业,近年来受中国汽车出口爆发式增长驱动，运力供给紧缺导致运价维持高位。,false,海上特种货物运输
transportation_003_011,支撑服务,船舶管理与船员服务,level_3,交通运输行业,属于轻资产服务业，收入基于管理费或服务费收取，受航运周期波动影响相对较小。,false,航运配套服务
transportation_003_012,支撑服务,船舶租赁与运力交易,level_3,交通运输行业,连接金融资本与航运实体，为船东提供资产负债表优化方案，为货主提供运价对冲工具。,false,航运配套服务
transportation_003_013,服务品类,VLOC与好望角型散货船运输,level_4,交通运输行业,单船载重吨位极大，规模经济显著，主要服务于中巴、中澳等核心铁矿石及煤炭贸易航线。,true,海上干散货运输
transportation_003_014,服务品类,VLCC(超大型油轮)运输,level_4,交通运输行业,油运市场的核心定价锚，运价波动率极高，对全球原油贸易流向及地缘政治事件极为敏感。,true,海上液体散货运输
transportation_003_015,服务品类,LNG船运输,level_4,交通运输行业,造船周期长、技术垄断度高，长协模式主导，是能源转型背景下最具成长确定性的航运细分资产。,true,海上液体散货运输
transportation_004_001,二级环节,集装箱码头运营,level_2,交通运输行业,以集装箱为作业对象，提供船舶靠泊、集装箱装卸、堆存及交接等服务的码头业务。,true,核心码头赛道
transportation_004_002,二级环节,干散货码头运营,level_2,交通运输行业,专门处理煤炭、矿石、粮食等块状、粒状及粉状干质散货装卸与堆存的码头业务。,true,核心码头赛道
transportation_004_003,二级环节,液体散货码头运营,level_2,交通运输行业,依托专用管道和泊位，提供原油、成品油、LNG及液体化工品等液体散货装卸与仓储服务的码头业务。,true,核心码头赛道
transportation_004_004,二级环节,港口装卸与理货服务,level_2,交通运输行业,为进出港船舶和货物提供装卸搬运、理货计数、船舶拖轮及助泊等配套作业服务。,false,港口支撑服务
transportation_004_005,二级环节,港口物流与保税仓储,level_2,交通运输行业,依托港口腹地及保税区，提供货物仓储、保税物流、冷链及期货交割等延伸供应链服务。,true,港口延伸物流
transportation_004_006,细分环节,外贸集装箱码头,level_3,交通运输行业,主要挂靠国际远洋航线，处理进出口集装箱装卸、中转及海关监管业务的码头。,true,核心码头赛道
transportation_004_007,细分环节,内贸集装箱码头,level_3,交通运输行业,主要挂靠国内沿海及长江等内河航线，处理国内贸易集装箱运输的码头。,false,核心码头赛道
transportation_004_008,细分环节,矿石码头,level_3,交通运输行业,具备深水泊位和专业卸船设备，主要接卸进口铁矿石等金属矿石的散货码头。,true,核心码头赛道
transportation_004_009,细分环节,煤炭码头,level_3,交通运输行业,配备翻车机、装船机或卸船机，主要服务于煤炭下水或接卸转运的散货码头。,true,核心码头赛道
transportation_004_010,细分环节,原油及成品油码头,level_3,交通运输行业,配备专用输油臂和储罐区，提供原油、燃料油及成品油装卸与管道输送服务的码头。,true,核心码头赛道
transportation_004_011,细分环节,LNG码头,level_3,交通运输行业,具备极高安全标准与专业接收终端，专用于液化天然气船舶接卸与低温储罐仓储的码头。,true,核心码头赛道
transportation_004_012,支撑服务,港口装卸服务,level_3,交通运输行业,港口经营人利用港口设施为船舶、车辆及货物提供装卸、驳运及堆码等核心物理作业服务。,false,港口支撑服务
transportation_004_013,支撑服务,港口理货服务,level_3,交通运输行业,独立第三方机构在港口交接环节对货物及集装箱进行计数、验残、分清标志及出具理货单证的服务。,false,港口支撑服务
transportation_004_014,支撑服务,港口保税仓储,level_3,交通运输行业,位于海关特殊监管区域内，为进出口货物提供缓税存储、国际中转、简单加工及分拨配送的仓储服务。,false,港口延伸物流
transportation_004_015,支撑服务,港口大宗商品交割库,level_3,交通运输行业,经期货交易所指定，依托港口物流优势为大宗商品期货合约提供实物交割、仓储及验收入库服务的指定仓库。,true,港口延伸物流
transportation_004_016,应用场景,国际枢纽港,level_4,交通运输行业,位于全球主干航线交汇点，拥有超深水泊位和庞大中转腹地，在全球集装箱运输网络中起核心枢纽作用的港口。,true,核心码头赛道
transportation_004_017,应用场景,区域干线港,level_4,交通运输行业,依托区域性经济腹地，挂靠区域干线航线，承接枢纽港中转货物及区域直达货物的规模化集装箱港口。,true,核心码头赛道
transportation_005_001,二级环节,铁路货运,level_2,交通运输行业,铁路货物运输服务，涵盖整车、集装箱等运输方式,true,铁路运输服务
transportation_005_002,二级环节,铁路客运,level_2,交通运输行业,铁路旅客运输服务，包括高铁、普速列车等客运产品,true,铁路运输服务
transportation_005_003,二级环节,城市轨道交通,level_2,交通运输行业,城市轨道交通运营服务，包括地铁、轻轨、有轨电车等制式,true,铁路运输服务
transportation_005_004,二级环节,市域铁路与城际铁路,level_2,交通运输行业,市域铁路和城际铁路运营服务，承担城市间通勤和城际出行需求,true,铁路运输服务
transportation_005_005,二级环节,铁路运维服务,level_2,交通运输行业,铁路基础设施和移动装备的维修维护服务，包括轨道维保和运维检测,true,铁路运输服务
transportation_005_006,细分环节,大宗物资铁路货运,level_3,交通运输行业,大宗物资铁路整车运输服务，主要服务于中长距离货物运输需求,true,铁路货运
transportation_005_007,细分环节,铁路集装箱货运,level_3,交通运输行业,铁路集装箱多式联运服务，推动散改集和运输接驳方式变革,true,铁路货运
transportation_005_008,细分环节,特种与白货铁路货运,level_3,交通运输行业,铁路特种货物运输（如冷链、商品汽车滚装、危化品）及白货快运服务,false,铁路货运
transportation_005_009,细分环节,高铁客运,level_3,交通运输行业,高铁动车组旅客运输服务，时速250公里及以上的客运专线运营,true,铁路客运
transportation_005_010,细分环节,普速铁路客运,level_3,交通运输行业,普速列车旅客运输服务，包括Z/T/K字头列车及CR200J型动车组,false,铁路客运
transportation_005_011,细分环节,地铁系统,level_3,交通运输行业,地铁系统运营服务，适合人口密集的大城市核心区通勤需求,true,城市轨道交通
transportation_005_012,细分环节,轻轨与有轨电车,level_3,交通运输行业,轻轨系统和有轨电车运营服务，适合中等密度客流走廊,false,城市轨道交通
transportation_005_013,细分环节,城际铁路客运,level_3,交通运输行业,城际铁路运营服务，承担城市间经常性、大容量客运需求,true,市域铁路与城际铁路
transportation_005_014,细分环节,市域（郊）铁路运营,level_3,交通运输行业,连接都市圈中心城市与周边城镇组团的市域（郊）铁路客运服务,true,市域铁路与城际铁路
transportation_005_015,细分环节,线路与轨道维护,level_3,交通运输行业,铁路轨道维保服务，包括线路巡检、轨道几何尺寸调整、道床养护等,true,铁路运维服务
transportation_005_016,细分环节,车辆与动车组运维,level_3,交通运输行业,铁路机车车辆及动车组的日常检修、高级修及部件维修服务,true,铁路运维服务
transportation_005_017,细分环节,通信与信号系统运维,level_3,交通运输行业,铁路通信网络、列车运行控制系统及信号设备的维护与升级服务,true,铁路运维服务
transportation_005_018,产品,煤炭铁路货运,level_4,交通运输行业,煤炭铁路整车运输服务，是铁路大宗物资货运的核心品类,true,大宗物资铁路货运
transportation_006_001,二级环节,高速公路投资与运营,level_2,交通运输行业,以收费高速公路资产为核心开展通行费征收与路网运营管理,true,高速公路运营
transportation_006_002,二级环节,道路客运,level_2,交通运输行业,使用客车在城乡道路上提供商业性旅客运输服务,true,道路运输客运
transportation_006_003,二级环节,城市公共汽电车运营,level_2,交通运输行业,在城市区域内利用公共汽电车等设施提供准公益性出行服务，涵盖常规公交、BRT及定制公交,true,城市公共交通
transportation_006_004,二级环节,出租车与网约车,level_2,交通运输行业,以乘用车为乘客提供个性化出行服务的巡游与网约运营,true,出租车出行
transportation_006_005,二级环节,道路货运,level_2,交通运输行业,使用货运车辆在道路上从事货物运输经营活动,true,道路货运
transportation_006_006,二级环节,共享出行,level_2,交通运输行业,以互联网分时租赁模式提供共享单车电单车等短途出行服务,false,共享出行
transportation_006_007,细分环节,高速公路通行费运营,level_3,交通运输行业,基于特许经营权征收通行费的核心收入运营业务,true,高速公路运营
transportation_006_008,细分环节,高速公路服务区运营,level_3,交通运输行业,在高速公路服务区为司乘人员与车辆提供配套服务的运营业务,true,高速公路运营
transportation_006_009,细分环节,班线客运,level_3,交通运输行业,按固定线路时间站点班次运行的道路客运方式,false,道路客运
transportation_006_010,细分环节,旅游包车客运,level_3,交通运输行业,以运送团体旅客为目的的包车与旅游客运服务,false,道路客运
transportation_006_011,细分环节,常规公交运营,level_3,交通运输行业,利用公共汽电车按核定线路站点运营的城市基本公共交通服务,false,城市公共交通
transportation_006_012,细分环节,整车运输,level_3,交通运输行业,一次托运货物可装满一整车的公路大批量货物运输方式,true,道路货运
transportation_006_013,细分环节,零担货运,level_3,交通运输行业,将多个货主小批量货物整合拼载的公路运输方式,true,道路货运
transportation_006_014,支撑服务,服务区能源补给,level_4,交通运输行业,在高速公路服务区为车辆提供加油加气充电等能源补给服务,false,高速公路运营
transportation_006_015,支撑服务,服务区商业零售,level_4,交通运输行业,在高速公路服务区开展便利店餐饮特产零售等商业经营,false,高速公路运营
transportation_006_016,细分环节,高速公路养护与运维,level_3,交通运输行业,对高速公路路基、路面、桥隧及机电设施进行日常巡查、预防养护与修复运维,false,高速公路运营
transportation_006_017,细分环节,定制公交运营,level_3,交通运输行业,基于乘客出行需求通过互联网平台众筹或预约开行的个性化公交服务,false,城市公共交通
transportation_006_018,细分环节,BRT快速公交运营,level_3,交通运输行业,依托专用路权和封闭式车站运营的大容量快速公共汽电车系统,false,城市公共交通
transportation_006_019,细分环节,冷链公路运输,level_3,交通运输行业,使用冷藏保温车辆在道路上进行温控货物（生鲜/医药等）的专业运输,false,道路货运
transportation_006_020,细分环节,大件货物运输,level_3,交通运输行业,使用特种重型车辆承运不可解体超限超重设备的公路专业运输,false,道路货运
transportation_007_001,二级环节,时效快递,level_2,交通运输行业,以航空和高铁等快速运力为依托，主打高时效、高服务品质的快递产品，主要服务于商务文件、高端电商件及紧急物资寄递,true,快递产品品类
transportation_007_002,二级环节,经济与电商快递,level_2,交通运输行业,依托公路干线与规模效应，主打高性价比的快递产品，是传统电商平台与直播电商件的主要承载渠道,true,快递产品品类
transportation_007_003,二级环节,快运与零担物流,level_2,交通运输行业,按网络覆盖分为全网快运、区域零担、专线零担等模式，全网快运为零担市场唯一增量细分,true,快运零担服务
transportation_007_004,二级环节,同城即时配送,level_2,交通运输行业,按应用场景分为外卖餐饮配送、即时零售配送、跑腿急送等，按运力组织模式分为专送和众包两种模式,true,即时配送服务
transportation_007_005,二级环节,国际与跨境物流,level_2,交通运输行业,服务于跨境电商和国际贸易，涵盖跨境直邮、海外仓、跨境专线等核心业务模式,true,跨境物流服务
transportation_007_006,二级环节,冷链物流,level_2,交通运输行业,依托温控技术与专业运力，为生鲜食品、医药产品等提供全程冷链运输与仓储配送服务,true,冷链物流服务
transportation_007_007,二级环节,快递末端网络,level_2,交通运输行业,包括快递驿站、智能快递柜等末端设施，解决快递配送效率和用户取件便利性问题,true,末端配送渠道
transportation_007_008,细分环节,全网快运,level_3,交通运输行业,零担市场中唯一增量细分，依托全国性网络实现门到门服务，是快运企业的核心竞争力体现,true,快运产品品类
transportation_007_009,细分环节,区域零担,level_3,交通运输行业,主要覆盖特定省份或经济圈的零担运输网络，服务于区域内制造业与商贸流通的中短途货运需求,false,快运产品品类
transportation_007_010,细分环节,专线零担,level_3,交通运输行业,点对点直达的零担货运线路，通常由中小物流企业运营，具有单线成本低、发车频次灵活的特点,false,快运产品品类
transportation_007_011,细分环节,外卖餐饮配送,level_3,交通运输行业,即时配送行业最大的应用场景，按运力组织分为平台专送和众包配送两种模式,true,即时配送应用场景
transportation_007_012,细分环节,即时零售配送,level_3,交通运输行业,依托线下商超、便利店及前置仓，为消费者提供生鲜、日百等商品的分钟级送达服务,true,即时配送应用场景
transportation_007_013,细分环节,跑腿急送,level_3,交通运输行业,满足C端用户个性化、紧急化的同城物品递送需求，以及B端商户的定制化急送需求,false,即时配送应用场景
transportation_007_014,细分环节,跨境直邮,level_3,交通运输行业,包含邮政小包与国际快递，消费者下单后直接从国内仓或境外仓打包发往目的国，适合轻小件与长尾商品,true,跨境物流模式
transportation_007_015,细分环节,海外仓,level_3,交通运输行业,跨境电商企业提前将货物批量运至目的国仓库，消费者下单后直接从海外仓发货，大幅提升履约时效,true,跨境物流模式
transportation_007_016,细分环节,跨境专线,level_3,交通运输行业,物流商整合航空干线与目的国清关派送资源，针对特定国家或地区推出的高性价比、时效稳定的专线产品,false,跨境物流模式
transportation_007_017,细分环节,医药冷链,level_3,交通运输行业,针对疫苗、血液制品、生物药等对温度极度敏感的医药产品，提供符合GSP标准的严苛温控运输与仓储服务,true,冷链细分场景
transportation_007_018,细分环节,生鲜冷链,level_3,交通运输行业,服务于生鲜电商、餐饮供应链及农批市场，提供果蔬、肉禽、水产等生鲜食品的产地直发与城配冷链服务,true,冷链细分场景
transportation_007_019,细分环节,快递驿站,level_3,交通运输行业,面向社区、校园、乡镇等场景设立的快递集中收发网点，是解决快递最后一公里配送效率的重要渠道,true,末端配送渠道
transportation_007_020,细分环节,智能快递柜,level_3,交通运输行业,通过技术手段实现快递自助存取，降低配送成本、保护用户隐私，是快递末端网络的重要补充,false,末端配送渠道
transportation_008_001,二级环节,国际货运代理,level_2,交通运输行业,国际进出口贸易中的核心物流中介与运力组织者。,true,国际货代
transportation_008_002,细分环节,海运货运代理,level_3,交通运输行业,依托船公司运力提供海运进出口全链路代理服务。,false,国际货代
transportation_008_003,细分环节,空运货运代理,level_3,交通运输行业,依托航空公司运力提供高时效跨境空运代理服务。,false,国际货代
transportation_008_004,二级环节,专业物流,level_2,交通运输行业,满足特殊货物物理化学属性及行业合规要求的专业化运输与仓储服务。,true,专业物流
transportation_008_005,细分环节,冷链物流,level_3,交通运输行业,提供全程温控的冷藏冷冻运输与冷库仓储服务。,true,专业物流
transportation_008_006,应用场景,生鲜冷链物流,level_4,交通运输行业,保障生鲜食品品质与降低腐损率的温控物流网络。,false,专业物流
transportation_008_007,应用场景,医药冷链物流,level_4,交通运输行业,满足极高合规与全程可追溯要求的医药专用温控供应链。,false,专业物流
transportation_008_008,细分环节,汽车物流,level_3,交通运输行业,匹配汽车制造业JIT/JIS生产模式的精益化物流体系。,true,专业物流
transportation_008_009,细分环节,整车物流,level_4,交通运输行业,依托轿运车、滚装船及铁路专列的商品车交付网络。,false,专业物流
transportation_008_010,细分环节,汽车零部件物流,level_4,交通运输行业,保障汽车总装线连续生产与售后维修网络的零部件循环物流。,false,专业物流
transportation_008_011,二级环节,大宗商品供应链服务,level_2,交通运输行业,赚取服务费、期现结合收益及资金利差的大宗商品流通组织者。,true,大宗商品供应链
transportation_008_012,细分环节,金属矿产供应链,level_3,交通运输行业,连接矿山、冶炼厂与终端制造企业的金属原材料供应链网络。,false,大宗商品供应链
transportation_008_013,细分环节,能源化工供应链,level_3,交通运输行业,连接石化炼化企业与下游加工企业的能源化工产品分销网络。,false,大宗商品供应链
transportation_008_014,细分环节,农产品供应链,level_3,交通运输行业,连接海外农场/产区与国内压榨、饲料及深加工企业的农产品流通网络。,false,大宗商品供应链
