节点id,节点类型,节点名称,节点标签,节点行业,业务描述,公司列表,关键节点,产业链环节,节点行业code,生效时间,失效时间
FOOD003004,产业链,食醋,level_3,食品饮料,以粮食等为原料发酵生产的酸味基础调味品。,,FALSE,,FOOD,2026-07-28,
FOOD003005,产业链,豆瓣酱与腐乳,level_3,食品饮料,豆类或谷物发酵形成的酱类和腐乳产品。,,FALSE,,FOOD,2026-07-28,
FOOD003007,产业链,中式复合调味料,level_3,食品饮料,面向家庭和餐饮的中式菜肴复合调味产品。,,FALSE,,FOOD,2026-07-28,
FOOD003010,产业链,餐饮定制调味料,level_3,食品饮料,面向连锁餐饮和食品工业客户的标准化定制调味产品。,,FALSE,,FOOD,2026-07-28,
FOOD003011,产业链,基础调味品,level_2,食品饮料,家庭和餐饮高频使用的基础咸鲜调味品。,,FALSE,,FOOD,2026-07-28,
FOOD004001,产业链,休闲食品制造,level_2,食品饮料,坚果炒货、卤味零食、膨化食品和糖果巧克力等零食制造。,,FALSE,,FOOD,2026-07-28,
FOOD004002,产业链,坚果炒货,level_3,食品饮料,坚果、籽类和炒货零食。,,FALSE,,FOOD,2026-07-28,
FOOD004003,产业链,卤味与肉类零食,level_3,食品饮料,卤制品、肉干肉脯等休闲肉制品。,,FALSE,,FOOD,2026-07-28,
FOOD004004,产业链,烘焙食品制造,level_2,食品饮料,面包、糕点、饼干等烘焙食品生产。,,FALSE,,FOOD,2026-07-28,
FOOD004005,产业链,短保烘焙,level_3,食品饮料,依赖冷链和高周转的短保面包糕点。,,FALSE,,FOOD,2026-07-28,
FOOD004006,产业链,中长保烘焙,level_3,食品饮料,饼干、蛋糕、派类等货架期较长烘焙食品。,,FALSE,,FOOD,2026-07-28,
FOOD004007,产业链,糖果巧克力,level_3,食品饮料,糖果、巧克力及相关甜味休闲食品。,,FALSE,,FOOD,2026-07-28,
FOOD004009,产业链,蜜饯果冻,level_3,食品饮料,果蔬蜜饯、果脯和果冻等休闲食品。,,FALSE,,FOOD,2026-07-28,
FOOD004010,产业链,饼干,level_3,食品饮料,以面粉、油脂和糖等为主要原料的饼干产品。,,FALSE,,FOOD,2026-07-28,
FOOD005001,产业链,速冻食品制造,level_2,食品饮料,速冻米面、火锅料和冷冻水产等冷冻食品制造。,,FALSE,,FOOD,2026-07-28,
FOOD005002,产业链,速冻米面食品,level_3,食品饮料,水饺、汤圆、包点等速冻米面食品。,,FALSE,,FOOD,2026-07-28,
FOOD005004,产业链,速冻火锅料,level_3,食品饮料,鱼糜制品、肉丸和火锅涮煮食材。,,FALSE,,FOOD,2026-07-28,
FOOD005005,产业链,肉制品加工,level_2,食品饮料,屠宰分割、熟肉制品、腌腊肉制品等肉类加工。,,FALSE,,FOOD,2026-07-28,
FOOD005006,产业链,熟肉制品加工,level_3,食品饮料,火腿肠、酱卤肉和熟食产品加工。,,FALSE,,FOOD,2026-07-28,
FOOD005007,产业链,方便食品制造,level_2,食品饮料,方便面、方便米饭、即食粥和自热食品等方便食品制造。,,FALSE,,FOOD,2026-07-28,
FOOD005008,产业链,预制菜与餐食加工,level_2,食品饮料,净菜、料理包、半成品菜和即热餐食等加工。,,FALSE,,FOOD,2026-07-28,
FOOD005009,产业链,净菜产品,level_3,食品饮料,面向家庭、餐饮和团餐渠道的清洗、切配、包装化蔬菜产品。,,FALSE,,FOOD,2026-07-28,
FOOD005010,产业链,料理包与半成品菜,level_3,食品饮料,面向餐饮和家庭消费的半成品菜肴。,,FALSE,,FOOD,2026-07-28,
FOOD005011,产业链,保健食品制造,level_2,食品饮料,营养补充、功能声称和特殊膳食相关食品制造。,,FALSE,,FOOD,2026-07-28,
FOOD005012,产业链,高温肉制品,level_3,食品饮料,经高温杀菌、常温流通的火腿肠和肉类罐头等产品。,,FALSE,,FOOD,2026-07-28,
FOOD006001,产业链,农产品原料,level_2,食品饮料,农业、畜牧、水产、乳品和特色农产品等食品饮料上游基础供给。,,FALSE,,FOOD,2026-07-28,
FOOD006002,产业链,粮食作物,level_3,食品饮料,小麦、水稻、玉米、高粱等粮食作物，是烘焙、方便食品、白酒、啤酒和淀粉糖的重要基础原料。,,FALSE,,FOOD,2026-07-28,
FOOD006005,产业链,油料作物,level_3,食品饮料,大豆、菜籽、花生等油料作物，支撑食用油、蛋白粕和部分休闲食品加工。,,FALSE,,FOOD,2026-07-28,
FOOD006007,产业链,糖料作物,level_3,食品饮料,甘蔗、甜菜等糖料作物，支撑食糖、糖浆和部分饮料甜味体系。,,FALSE,,FOOD,2026-07-28,
FOOD006009,产业链,畜禽产品,level_3,食品饮料,猪禽牛羊等肉类及蛋品，是肉制品、预制菜和餐饮食材的重要原料。,,FALSE,,FOOD,2026-07-28,
FOOD006010,产业链,水产品,level_3,食品饮料,鱼虾贝等水产品，支撑速冻水产、预制菜和鱼糜制品。,,FALSE,,FOOD,2026-07-28,
FOOD006011,产业链,乳品原料,level_3,食品饮料,生鲜乳及乳源原料，支撑液态奶、发酵乳、奶粉和含乳饮料。,,FALSE,,FOOD,2026-07-28,
FOOD006013,产业链,果蔬原料,level_3,食品饮料,水果、蔬菜和果蔬浓缩汁，支撑果汁饮料、净菜、预制菜和休闲食品。,,FALSE,,FOOD,2026-07-28,
FOOD006015,产业链,茶叶与植物原料,level_3,食品饮料,茶叶、咖啡豆、坚果、豆类等特色植物原料，支撑茶饮、植物蛋白饮料和休闲食品。,,FALSE,,FOOD,2026-07-28,
FOOD006017,产业链,食品添加剂与配料,level_2,食品饮料,改善口感、保质、营养、质构和风味的功能性配料与添加剂。,,FALSE,,FOOD,2026-07-28,
FOOD006018,产业链,甜味剂,level_3,食品饮料,蔗糖、果葡糖浆、代糖等改善甜味和热量结构的配料。,,FALSE,,FOOD,2026-07-28,
FOOD006020,产业链,香精香料,level_3,食品饮料,食品饮料风味设计和差异化的重要配料。,,FALSE,,FOOD,2026-07-28,
FOOD006023,产业链,乳化稳定剂与胶体,level_3,食品饮料,改善饮料、乳品、酱料和烘焙食品质构稳定性的配料。,,FALSE,,FOOD,2026-07-28,
FOOD006025,产业链,营养强化剂,level_3,食品饮料,维生素、矿物质、氨基酸等功能营养配料。,,FALSE,,FOOD,2026-07-28,
FOOD006026,产业链,酶制剂与发酵配料,level_3,食品饮料,酶制剂、酵母和发酵助剂，支撑烘焙、酿造和调味品生产。,,FALSE,,FOOD,2026-07-28,
FOOD006028,产业链,包装材料,level_2,食品饮料,直接影响成本、货架展示、运输安全和保质期的食品饮料包装材料与容器。,,FALSE,,FOOD,2026-07-28,
FOOD006029,产业链,纸包装,level_3,食品饮料,纸箱、纸盒、纸杯等运输与零售包装材料。,,FALSE,,FOOD,2026-07-28,
FOOD006030,产业链,塑料包装,level_3,食品饮料,PET瓶、塑料容器和软包装薄膜等轻量化包装材料。,,FALSE,,FOOD,2026-07-28,
FOOD006032,产业链,金属包装,level_3,食品饮料,两片罐、三片罐和金属盖等饮料酒类常用包装。,,FALSE,,FOOD,2026-07-28,
FOOD006035,产业链,复合软包装,level_3,食品饮料,铝塑复合、纸塑复合和无菌包材等复合包装方案。,,FALSE,,FOOD,2026-07-28,
FOOD006037,产业链,标签与包装耗材,level_3,食品饮料,标签、瓶盖、胶黏剂和外箱耗材等辅助包装材料。,,FALSE,,FOOD,2026-07-28,
FOOD007001,产业链,线下现代渠道,level_2,食品饮料,商超、便利店、仓储会员店和折扣零售等现代零售渠道。,,FALSE,,FOOD,2026-07-28,
FOOD007002,产业链,商超卖场,level_3,食品饮料,大型商超和区域连锁卖场。,,FALSE,,FOOD,2026-07-28,
FOOD007003,产业链,便利店与折扣店,level_3,食品饮料,便利店、折扣零食店和社区零售终端。,,FALSE,,FOOD,2026-07-28,
FOOD007004,产业链,传统流通渠道,level_2,食品饮料,经销商、批发市场、社区小店和下沉市场终端。,,FALSE,,FOOD,2026-07-28,
FOOD007005,产业链,餐饮与团餐渠道,level_2,食品饮料,餐饮门店、连锁餐饮、团餐和酒店渠道。,,FALSE,,FOOD,2026-07-28,
FOOD007006,产业链,线上电商渠道,level_2,食品饮料,综合电商、内容电商、社区团购和即时零售。,,FALSE,,FOOD,2026-07-28,
FOOD007009,产业链,终端消费场景,level_2,食品饮料,家庭、餐饮、休闲、健康、礼赠等消费场景。,,FALSE,,FOOD,2026-07-28,
FOOD007013,产业链,冷链物流与仓储,level_2,食品饮料,面向生鲜、乳品、速冻、预制菜等温控产品的仓储、运输和流通加工。,,FALSE,,FOOD,2026-07-28,
FOOD007015,产业链,冷链仓储,level_3,食品饮料,冷库、低温仓和温控仓储服务。,,FALSE,,FOOD,2026-07-28,
FOOD007018,产业链,冷链运输,level_3,食品饮料,干线冷链、城配冷链和末端温控配送。,,FALSE,,FOOD,2026-07-28,
