起点节点id,起点节点名称,终点节点id,终点节点名称,关系类型,关系权重,关系描述,置信度,强度,开始时间,结束时间
FOOD006009,畜禽产品,FOOD006001,农产品原料,SUBORDINATE_TO,1.0,畜禽产品隶属于上级分类。,0.86,,2026-07-28,
FOOD006010,水产品,FOOD006001,农产品原料,SUBORDINATE_TO,1.0,水产品隶属于上级分类。,0.86,,2026-07-28,
FOOD006011,乳品原料,FOOD006001,农产品原料,SUBORDINATE_TO,1.0,乳品原料隶属于上级分类。,0.86,,2026-07-28,
FOOD006013,果蔬原料,FOOD006001,农产品原料,SUBORDINATE_TO,1.0,果蔬原料隶属于上级分类。,0.86,,2026-07-28,
FOOD006015,茶叶与植物原料,FOOD006001,农产品原料,SUBORDINATE_TO,1.0,茶叶与植物原料隶属于上级分类。,0.86,,2026-07-28,
FOOD006018,甜味剂,FOOD006017,食品添加剂与配料,SUBORDINATE_TO,1.0,甜味剂隶属于上级分类。,0.86,,2026-07-28,
FOOD006020,香精香料,FOOD006017,食品添加剂与配料,SUBORDINATE_TO,1.0,香精香料隶属于上级分类。,0.86,,2026-07-28,
FOOD006023,乳化稳定剂与胶体,FOOD006017,食品添加剂与配料,SUBORDINATE_TO,1.0,乳化稳定剂与胶体隶属于上级分类。,0.86,,2026-07-28,
FOOD006025,营养强化剂,FOOD006017,食品添加剂与配料,SUBORDINATE_TO,1.0,营养强化剂隶属于上级分类。,0.86,,2026-07-28,
FOOD006026,酶制剂与发酵配料,FOOD006017,食品添加剂与配料,SUBORDINATE_TO,1.0,酶制剂与发酵配料隶属于上级分类。,0.86,,2026-07-28,
FOOD006029,纸包装,FOOD006028,包装材料,SUBORDINATE_TO,1.0,纸包装隶属于上级分类。,0.86,,2026-07-28,
FOOD006030,塑料包装,FOOD006028,包装材料,SUBORDINATE_TO,1.0,塑料包装隶属于上级分类。,0.86,,2026-07-28,
FOOD006032,金属包装,FOOD006028,包装材料,SUBORDINATE_TO,1.0,金属包装隶属于上级分类。,0.86,,2026-07-28,
FOOD006035,复合软包装,FOOD006028,包装材料,SUBORDINATE_TO,1.0,复合软包装隶属于上级分类。,0.86,,2026-07-28,
FOOD006037,标签与包装耗材,FOOD006028,包装材料,SUBORDINATE_TO,1.0,标签与包装耗材隶属于上级分类。,0.86,,2026-07-28,
FOOD007001,线下现代渠道,FOOD000007,食品饮料流通与消费渠道,SUBORDINATE_TO,1.0,线下现代渠道隶属于上级分类。,0.86,,2026-07-28,
FOOD007004,传统流通渠道,FOOD000007,食品饮料流通与消费渠道,SUBORDINATE_TO,1.0,传统流通渠道隶属于上级分类。,0.86,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD000007,食品饮料流通与消费渠道,SUBORDINATE_TO,1.0,餐饮与团餐渠道隶属于上级分类。,0.86,,2026-07-28,
FOOD007006,线上电商渠道,FOOD000007,食品饮料流通与消费渠道,SUBORDINATE_TO,1.0,线上电商渠道隶属于上级分类。,0.86,,2026-07-28,
FOOD007009,终端消费场景,FOOD000007,食品饮料流通与消费渠道,SUBORDINATE_TO,1.0,终端消费场景隶属于上级分类。,0.86,,2026-07-28,
FOOD007013,冷链物流与仓储,FOOD000007,食品饮料流通与消费渠道,SUBORDINATE_TO,1.0,冷链物流与仓储隶属于上级分类。,0.86,,2026-07-28,
FOOD007002,商超卖场,FOOD007001,线下现代渠道,SUBORDINATE_TO,1.0,商超卖场隶属于上级分类。,0.86,,2026-07-28,
FOOD007003,便利店与折扣店,FOOD007001,线下现代渠道,SUBORDINATE_TO,1.0,便利店与折扣店隶属于上级分类。,0.86,,2026-07-28,
FOOD007015,冷链仓储,FOOD007013,冷链物流与仓储,SUBORDINATE_TO,1.0,冷链仓储隶属于上级分类。,0.86,,2026-07-28,
FOOD007018,冷链运输,FOOD007013,冷链物流与仓储,SUBORDINATE_TO,1.0,冷链运输隶属于上级分类。,0.86,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD000000,食品饮料行业,DOWNSTREAM_OF,1.0,食品饮料流通与消费渠道是食品饮料行业产品实现终端消费与价值变现的下游关键通路。,0.95,,2026-07-28,
FOOD000000,食品饮料行业,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是食品饮料行业的关键上游成本与物料供给来源。,0.95,,2026-07-28,
FOOD007004,传统流通渠道,FOOD001001,白酒,DOWNSTREAM_OF,1.0,白酒是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD001001,白酒,DOWNSTREAM_OF,1.0,白酒是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD001002,啤酒,DOWNSTREAM_OF,1.0,啤酒是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007009,终端消费场景,FOOD001002,啤酒,DOWNSTREAM_OF,1.0,啤酒是终端消费场景的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007001,线下现代渠道,FOOD001007,葡萄酒,DOWNSTREAM_OF,1.0,葡萄酒是线下现代渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD001007,葡萄酒,DOWNSTREAM_OF,1.0,葡萄酒是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD001007,葡萄酒,DOWNSTREAM_OF,1.0,葡萄酒是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007006,线上电商渠道,FOOD001007,葡萄酒,DOWNSTREAM_OF,1.0,葡萄酒是线上电商渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007013,冷链物流与仓储,FOOD001007,葡萄酒,DOWNSTREAM_OF,1.0,葡萄酒是冷链物流与仓储的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD001008,黄酒,DOWNSTREAM_OF,1.0,黄酒是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD001008,黄酒,DOWNSTREAM_OF,1.0,黄酒是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007001,线下现代渠道,FOOD001009,预调酒,DOWNSTREAM_OF,1.0,预调酒是线下现代渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD001009,预调酒,DOWNSTREAM_OF,1.0,预调酒是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD001009,预调酒,DOWNSTREAM_OF,1.0,预调酒是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007006,线上电商渠道,FOOD001009,预调酒,DOWNSTREAM_OF,1.0,预调酒是线上电商渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD002001,包装饮用水,DOWNSTREAM_OF,1.0,包装饮用水是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD002001,包装饮用水,DOWNSTREAM_OF,1.0,包装饮用水是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007001,线下现代渠道,FOOD002002,碳酸饮料,DOWNSTREAM_OF,1.0,碳酸饮料是线下现代渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD002002,碳酸饮料,DOWNSTREAM_OF,1.0,碳酸饮料是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD002002,碳酸饮料,DOWNSTREAM_OF,1.0,碳酸饮料是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD002005,果汁与果蔬饮料,DOWNSTREAM_OF,1.0,果汁与果蔬饮料是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD002005,果汁与果蔬饮料,DOWNSTREAM_OF,1.0,果汁与果蔬饮料是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD002007,功能饮料,DOWNSTREAM_OF,1.0,功能饮料是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007009,终端消费场景,FOOD002007,功能饮料,DOWNSTREAM_OF,1.0,功能饮料是终端消费场景的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD002009,植物蛋白饮料,DOWNSTREAM_OF,1.0,植物蛋白饮料是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD002011,含乳饮料,DOWNSTREAM_OF,1.0,含乳饮料是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD002011,含乳饮料,DOWNSTREAM_OF,1.0,含乳饮料是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007009,终端消费场景,FOOD002011,含乳饮料,DOWNSTREAM_OF,1.0,含乳饮料是终端消费场景的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD002012,乳制品制造,DOWNSTREAM_OF,1.0,乳制品制造是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD004001,休闲食品制造,FOOD003001,发酵调味品,DOWNSTREAM_OF,1.0,发酵调味品是休闲食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD003001,发酵调味品,DOWNSTREAM_OF,1.0,发酵调味品是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD003001,发酵调味品,DOWNSTREAM_OF,1.0,发酵调味品是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005008,预制菜与餐食加工,FOOD003002,复合调味料,DOWNSTREAM_OF,1.0,复合调味料是预制菜与餐食加工的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007001,线下现代渠道,FOOD003002,复合调味料,DOWNSTREAM_OF,1.0,复合调味料是线下现代渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD003002,复合调味料,DOWNSTREAM_OF,1.0,复合调味料是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005008,预制菜与餐食加工,FOOD003011,基础调味品,DOWNSTREAM_OF,1.0,基础调味品是预制菜与餐食加工的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD003011,基础调味品,DOWNSTREAM_OF,1.0,基础调味品是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD003011,基础调味品,DOWNSTREAM_OF,1.0,基础调味品是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007006,线上电商渠道,FOOD003011,基础调味品,DOWNSTREAM_OF,1.0,基础调味品是线上电商渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007009,终端消费场景,FOOD003011,基础调味品,DOWNSTREAM_OF,1.0,基础调味品是终端消费场景的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD004001,休闲食品制造,DOWNSTREAM_OF,1.0,休闲食品制造是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007009,终端消费场景,FOOD004001,休闲食品制造,DOWNSTREAM_OF,1.0,休闲食品制造是终端消费场景的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007001,线下现代渠道,FOOD004004,烘焙食品制造,DOWNSTREAM_OF,1.0,烘焙食品制造是线下现代渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD004004,烘焙食品制造,DOWNSTREAM_OF,1.0,烘焙食品制造是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD004004,烘焙食品制造,DOWNSTREAM_OF,1.0,烘焙食品制造是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007006,线上电商渠道,FOOD004004,烘焙食品制造,DOWNSTREAM_OF,1.0,烘焙食品制造是线上电商渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD005001,速冻食品制造,DOWNSTREAM_OF,1.0,速冻食品制造是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD005001,速冻食品制造,DOWNSTREAM_OF,1.0,速冻食品制造是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD005005,肉制品加工,DOWNSTREAM_OF,1.0,肉制品加工是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD005005,肉制品加工,DOWNSTREAM_OF,1.0,肉制品加工是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007013,冷链物流与仓储,FOOD005005,肉制品加工,DOWNSTREAM_OF,1.0,肉制品加工是冷链物流与仓储的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD005007,方便食品制造,DOWNSTREAM_OF,1.0,方便食品制造是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD005007,方便食品制造,DOWNSTREAM_OF,1.0,方便食品制造是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007001,线下现代渠道,FOOD005008,预制菜与餐食加工,DOWNSTREAM_OF,1.0,预制菜与餐食加工是线下现代渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD005008,预制菜与餐食加工,DOWNSTREAM_OF,1.0,预制菜与餐食加工是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD005008,预制菜与餐食加工,DOWNSTREAM_OF,1.0,预制菜与餐食加工是餐饮与团餐渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007006,线上电商渠道,FOOD005008,预制菜与餐食加工,DOWNSTREAM_OF,1.0,预制菜与餐食加工是线上电商渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007009,终端消费场景,FOOD005008,预制菜与餐食加工,DOWNSTREAM_OF,1.0,预制菜与餐食加工是终端消费场景的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007013,冷链物流与仓储,FOOD005008,预制菜与餐食加工,DOWNSTREAM_OF,1.0,预制菜与餐食加工是冷链物流与仓储的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD005011,保健食品制造,DOWNSTREAM_OF,1.0,保健食品制造是传统流通渠道的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD001001,白酒,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是白酒的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD001002,啤酒,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是啤酒的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD001007,葡萄酒,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是葡萄酒的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD001008,黄酒,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是黄酒的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD001009,预调酒,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是预调酒的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002001,包装饮用水,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是包装饮用水的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002002,碳酸饮料,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是碳酸饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002003,茶饮料,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是茶饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002005,果汁与果蔬饮料,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是果汁与果蔬饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002007,功能饮料,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是功能饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002009,植物蛋白饮料,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是植物蛋白饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002011,含乳饮料,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是含乳饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002012,乳制品制造,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是乳制品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD003001,发酵调味品,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是发酵调味品的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD003002,复合调味料,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是复合调味料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD003011,基础调味品,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是基础调味品的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD004001,休闲食品制造,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是休闲食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD004004,烘焙食品制造,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是烘焙食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005001,速冻食品制造,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是速冻食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005005,肉制品加工,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是肉制品加工的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005007,方便食品制造,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是方便食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005008,预制菜与餐食加工,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是预制菜与餐食加工的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005011,保健食品制造,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是保健食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD001002,啤酒,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是啤酒的直接上游投入或供给环节。,0.8,,2026-07-28,
